"season","episode","number_line","timecode_in","timecode_out","text"
"1","4","1","00:00:40:17","00:00:42:17","My lady, you must stay strong."
"1","4","2","00:00:42:19","00:00:44:13","You must stay awake."
"1","4","3","00:00:44:15","00:00:45:20","Please stay strong."
"1","4","4","00:00:56:07","00:00:58:06","I SHALL MAKE DO-HWA MINE
IF SHE BEARS A CHILD, KNOW THAT IT IS MINE"
"1","4","5","00:00:58:08","00:01:00:08","Thanks to you,"
"1","4","6","00:01:01:02","00:01:04:06","the past seven days have been wonderful."
"1","4","7","00:01:09:05","00:01:10:17","Do-hwa will be giving birth"
"1","4","8","00:01:12:00","00:01:13:24","to my son soon."
"1","4","9","00:01:16:10","00:01:17:13","Your Majesty."
"1","4","10","00:01:18:06","00:01:22:01","Do you remember the divination I received
on the day of my coronation?"
"1","4","11","00:01:22:15","00:01:26:03","You said I would be granted a son"
"1","4","12","00:01:26:23","00:01:29:24","who had the energy of the King's Star."
"1","4","13","00:01:30:13","00:01:34:05","The divination was incorrect.
That cannot be."
"1","4","14","00:01:36:16","00:01:37:22","No."
"1","4","15","00:01:39:10","00:01:42:01","What you said has to be true."
"1","4","16","00:01:43:01","00:01:46:04","I will have a son
thanks to your alchemy of souls."
"1","4","17","00:01:47:24","00:01:49:17","Remember that."
"1","4","18","00:01:50:22","00:01:52:19","Do-hwa will bear"
"1","4","19","00:01:54:17","00:01:56:03","my son."
"1","4","20","00:01:59:05","00:02:00:13","He will be mine."
"1","4","21","00:02:59:00","00:03:02:16","The star at the center of the Big Dipper
that contains nature's secrets"
"1","4","22","00:03:02:18","00:03:07:08","only reveals itself when the sky is filled
with the energy of the Daeho waters."
"1","4","23","00:03:15:09","00:03:18:05","And my son will be born
when that star appears."
"1","4","24","00:03:28:14","00:03:31:24","From this moment forward,
I hereby banish Jang Uk from Songrim."
"1","4","25","00:03:33:07","00:03:34:15","There is one more left."
"1","4","26","00:03:34:17","00:03:36:02","As for the last one,
you should do it yourself."
"1","4","27","00:03:51:24","00:03:53:01","Mu-deok."
"1","4","28","00:03:54:07","00:03:57:17","Is Young Master still not talking?"
"1","4","29","00:03:58:18","00:04:02:17","No. His back was flogged,
but it seems his mouth was as well."
"1","4","30","00:04:02:19","00:04:05:05","He cries in pain even when
he bumps his fingers into something."
"1","4","31","00:04:05:07","00:04:07:23","But he is being silent
after being flogged 100 times."
"1","4","32","00:04:08:00","00:04:09:02","I am truly worried."
"1","4","33","00:04:09:05","00:04:12:07","He is a crybaby, so I am guessing
it is still bearable for him."
"1","4","34","00:04:13:17","00:04:17:19","His back is not what is paining him.
It is his heart."
"1","4","35","00:04:18:22","00:04:22:20","He was cast away by the man
he considered a father figure."
"1","4","36","00:04:22:22","00:04:24:10","Imagine how he feels."
"1","4","37","00:04:25:19","00:04:27:13","He must think he was abandoned."
"1","4","38","00:04:51:14","00:04:53:11","You should be happy you got flogged."
"1","4","39","00:04:54:04","00:04:57:08","They will not be able to retrieve
the torrent of energy right away."
"1","4","40","00:04:57:10","00:04:59:08","You will have more time to train."
"1","4","41","00:05:10:08","00:05:11:12","Young Master."
"1","4","42","00:05:12:07","00:05:13:07","Are you all right?"
"1","4","43","00:05:33:15","00:05:35:18","Mu-deok, look at this."
"1","4","44","00:05:35:20","00:05:38:03","I think I used my energy
to make these ripples."
"1","4","45","00:05:42:24","00:05:44:09","The water is just rippling."
"1","4","46","00:05:46:02","00:05:48:22","Why is it not working? I have been
practicing my breathing technique."
