season,episode,number_line,timecode_in,timecode_out,text
1,14,1,00:01:07:19,00:01:11:02,"I heard you have been going fishing
with Uk these days."
1,14,2,00:01:12:03,00:01:15:10,"That is true.
It is so boring to fish alone."
1,14,3,00:01:16:03,00:01:17:23,You once said that
1,14,4,00:01:18:00,00:01:21:11,"Uk shares the same fate
as Master Seo Gyeong."
1,14,5,00:01:21:13,00:01:24:24,"Is that why you are encouraging
and guiding him?"
1,14,6,00:01:25:12,00:01:28:10,I am not the one guiding him.
1,14,7,00:01:30:17,00:01:32:24,Then is there someone else?
1,14,8,00:01:33:23,00:01:35:10,Who is it?
1,14,9,00:01:36:04,00:01:37:21,Do you know who that person is?
1,14,10,00:01:44:13,00:01:48:03,"No one is teaching Uk
how to do spells right now."
1,14,11,00:01:48:16,00:01:49:16,I can be sure of it.
1,14,12,00:01:50:05,00:01:52:23,"It was confirmed by his maid
who is always by his side."
1,14,13,00:01:53:17,00:01:57:20,"Are you saying he progressed
that much single-handedly?"
1,14,14,00:01:57:22,00:01:59:21,He may have become a mage of Jeongjingak
1,14,15,00:01:59:23,00:02:02:08,thanks to his schemes and good luck.
1,14,16,00:02:02:10,00:02:03:23,But he has no skills.
1,14,17,00:02:03:24,00:02:06:19,"I am sure you have heard
of our ongoing bet."
1,14,18,00:02:08:04,00:02:09:12,He has yet to win once.
1,14,19,00:02:11:05,00:02:12:06,You are right.
1,14,20,00:02:12:08,00:02:15:22,"If he had a master, his master would have
prevented him from being humiliated."
1,14,21,00:02:16:13,00:02:19:02,"Reading Words of the Heart
had won him respect."
1,14,22,00:02:19:04,00:02:21:04,But our bet has humiliated him.
1,14,23,00:02:21:06,00:02:24:19,"Seeing how he has not given up,"
1,14,24,00:02:24:21,00:02:26:11,that object
1,14,25,00:02:27:14,00:02:30:08,must mean a lot to him.
1,14,26,00:02:33:17,00:02:35:11,Are you all right? Can you see?
1,14,27,00:02:35:13,00:02:37:10,"Yes. And you, Young Master?"
1,14,28,00:02:37:12,00:02:39:14,Did you get hurt anywhere?
1,14,29,00:02:41:05,00:02:42:07,You are right.
1,14,30,00:02:43:23,00:02:47:05,"I did not know
how important this was to him."
1,14,31,00:02:51:12,00:02:53:01,"Once Uk returns,"
1,14,32,00:02:53:17,00:02:55:24,"Beom would want to have
their duel right away."
1,14,33,00:02:56:01,00:02:57:10,But he is busy fishing right now?
1,14,34,00:02:58:07,00:03:00:12,And Mu-deok is letting him do that?
1,14,35,00:03:00:14,00:03:01:13,Gosh.
1,14,36,00:03:01:15,00:03:03:03,I doubt she would have let him.
1,14,37,00:03:03:05,00:03:06:18,"So you can also see
that Uk listens to Mu-deok."
1,14,38,00:03:06:20,00:03:10:19,"He is stubborn about things
no matter what others tell him."
1,14,39,00:03:10:21,00:03:12:20,But he always listens to Mu-deok.
1,14,40,00:03:15:21,00:03:18:15,"We can also protect
the monsters from this world."
1,14,41,00:03:20:11,00:03:22:10,"The monster
he was talking about was Naksu."
1,14,42,00:03:24:23,00:03:29:09,"If he is looking for
the ice stone to protect her…"
1,14,43,00:03:31:23,00:03:34:09,"-They must not be together.
-What?"
1,14,44,00:03:35:16,00:03:36:18,Why not?
1,14,45,00:03:36:19,00:03:39:11,Do you not like that they are close?
1,14,46,00:03:41:21,00:03:42:21,I do not.
1,14,47,00:03:43:08,00:03:46:18,"If they end up going down the wrong path,"
1,14,48,00:03:48:23,00:03:51:09,there will be nothing I can do.
1,14,49,00:04:00:09,00:04:06:11,"Uk is someone who can potentially
bring chaos to the world."
1,14,50,00:04:07:14,00:04:11:11,"What if we support and raise him
into an uncontrollable individual"
1,14,51,00:04:11:13,00:04:14:00,"and he becomes the center
of the world's attention?"
1,14,52,00:04:14:02,00:04:17:10,"Are you afraid that he will desire
to become king according to his fate"
1,14,53,00:04:17:12,00:04:20:14,and bring chaos to Daeho?
1,14,54,00:04:22:02,00:04:25:08,"It may be possible
if he learns of the King's Star."
1,14,55,00:04:25:23,00:04:27:22,It will forever broaden his horizons
1,14,56,00:04:27:24,00:04:32:12,and desire to achieve greatness.
1,14,57,00:04:34:06,00:04:35:08,Jin.
1,14,58,00:04:36:07,00:04:38:22,How long did it take you to reach Chisu?
1,14,59,00:04:39:18,00:04:40:17,Chisu?
1,14,60,00:04:41:04,00:04:44:08,"It did not take me long to reach Ryusu,"
1,14,61,00:04:44:10,00:04:48:14,but it did take some time to reach Chisu.
1,14,62,00:04:53:22,00:04:56:17,"It took me three years
to look into the sky's energy,"
1,14,63,00:04:57:20,00:05:00:11,"three years to read the land's energy,"
1,14,64,00:05:01:15,00:05:06:07,"and four years to feel
the energy around me."
1,14,65,00:05:08:10,00:05:12:11,"The energy from the sky and land,
and water that bridges between them."
1,14,66,00:05:13:07,00:05:16:08,It took me ten years to master them all
1,14,67,00:05:18:12,00:05:20:09,and reach Chisu.
1,14,68,00:05:20:11,00:05:21:13,That is incredible.
1,14,69,00:05:22:15,00:05:24:08,It took me 13 years.
1,14,70,00:05:24:10,00:05:26:17,And it took Yeom twice as long.
1,14,71,00:05:27:08,00:05:31:06,I was the second fastest after Jang Gang.
1,14,72,00:05:31:18,00:05:32:22,But you see…
1,14,73,00:05:40:14,00:05:44:05,"We say this energy flows
between heaven and earth."
1,14,74,00:05:44:07,00:05:47:18,"But in fact, this is just water."
1,14,75,00:05:50:02,00:05:54:13,"It took us over ten years
to finally grasp this energy."
1,14,76,00:05:56:09,00:05:58:23,"But there are those
who can do that from birth."
1,14,77,00:06:16:04,00:06:18:15,"Simply put, they are geniuses."
1,14,78,00:06:19:12,00:06:21:17,"But to the world,"
1,14,79,00:06:21:19,00:06:25:12,"they seem reckless, unreliable,"
1,14,80,00:06:25:14,00:06:28:05,and even dangerous at times.
1,14,81,00:06:31:12,00:06:32:14,Did I just
1,14,82,00:06:33:18,00:06:35:07,reach Chisu?
1,14,83,00:06:38:10,00:06:41:02,"That is because
they are different from the rest of us."
1,14,84,00:06:48:20,00:06:51:01,Some could be jealous of them.
1,14,85,00:06:58:22,00:07:01:08,While others could be worried about them.
1,14,86,00:07:04:00,00:07:05:10,I will definitely win tomorrow.
1,14,87,00:07:08:04,00:07:09:11,I caught it.
1,14,88,00:07:11:21,00:07:13:00,Really?
1,14,89,00:07:13:17,00:07:14:19,Uk.
1,14,90,00:07:15:21,00:07:17:01,You have reached Chisu.
1,14,91,00:07:22:07,00:07:26:22,"We react that way because we do not know
how they will use their terrifying powers."
1,14,92,00:07:27:13,00:07:31:13,"Will he save this world
like Master Seo Gyeong did?"
1,14,93,00:07:31:15,00:07:34:24,"Or will he do the very opposite?
We do not know."
1,14,94,00:07:36:05,00:07:37:15,So are you saying
1,14,95,00:07:38:23,00:07:41:24,that you will continue to watch him?
1,14,96,00:07:43:20,00:07:47:03,Do not worry. I am debating as well.
1,14,97,00:07:49:09,00:07:51:08,"If we need to get rid of that power,"
1,14,98,00:07:52:13,00:07:55:02,I will do so with my own hands.
1,14,99,00:08:02:01,00:08:03:24,"Uk, is your probation period over?"
1,14,100,00:08:04:01,00:08:05:07,That is why I am back.
1,14,101,00:08:05:10,00:08:06:20,So you destroyed Cheonbugwan?
1,14,102,00:08:06:22,00:08:08:03,Do not exaggerate.
1,14,103,00:08:09:07,00:08:12:00,"-Hey.
-You are finally back."
1,14,104,00:08:12:18,00:08:15:16,I am your final opponent.
1,14,105,00:08:16:08,00:08:18:16,"-I see.
-I feel bad that"
1,14,106,00:08:19:17,00:08:23:22,"you will not be able to win
since I happen to be your last opponent."
1,14,107,00:08:29:09,00:08:30:20,You are right.
1,14,108,00:08:31:11,00:08:33:22,I hope the finale will not be boring.
1,14,109,00:08:34:18,00:08:35:20,I am counting on you.
1,14,110,00:08:45:19,00:08:47:05,What was that?
1,14,111,00:08:47:07,00:08:49:01,Did he undergo a new kind of training?
1,14,112,00:08:49:03,00:08:51:01,I heard he only went fishing.
1,14,113,00:08:51:03,00:08:53:14,Do not worry. He is just talking big.
1,14,114,00:08:54:15,00:08:58:19,"I will humiliate him
in front of the Crown Prince today."
1,14,115,00:09:00:20,00:09:01:24,Your Royal Highness.
1,14,116,00:09:02:18,00:09:05:13,"My foolish young master
lost nine duels so far"
1,14,117,00:09:05:15,00:09:09:10,"and thus made you lose
nine precious gold toads."
1,14,118,00:09:10:01,00:09:12:09,I do not deserve to look you in the eye.
1,14,119,00:09:14:19,00:09:16:05,Is there one duel left?
1,14,120,00:09:16:07,00:09:18:02,"He trained hard,"
1,14,121,00:09:18:04,00:09:20:13,"so he will not disappoint you
this time around."
1,14,122,00:09:20:15,00:09:22:05,"If I am not to be disappointed,"
1,14,123,00:09:22:20,00:09:23:22,he should lose again.
1,14,124,00:09:28:12,00:09:31:01,You took me for a fool.
1,14,125,00:09:31:03,00:09:34:05,"You were using my gold
to train your young master."
1,14,126,00:09:35:18,00:09:37:08,"Thanks to the duels,"
1,14,127,00:09:37:10,00:09:41:06,"you had the satisfaction of watching
my young master get humiliated."
1,14,128,00:09:41:08,00:09:43:22,I believe that alone was worth the gold.
1,14,129,00:09:44:18,00:09:46:10,"Yes, they were entertaining."
1,14,130,00:09:46:12,00:09:48:16,I hope he will lose this time again
1,14,131,00:09:49:11,00:09:52:00,"so I can see you cry
after losing this to me."
1,14,132,00:09:52:16,00:09:54:22,"Uk has the other half, does he not?"
1,14,133,00:09:55:16,00:09:58:03,"Since he had given this to you,"
1,14,134,00:09:58:05,00:10:00:09,was this a symbol of love?
1,14,135,00:10:02:19,00:10:04:13,Did you give this up so you could use me?
1,14,136,00:10:08:16,00:10:11:07,"If Uk loses and this becomes mine,"
1,14,137,00:10:11:22,00:10:12:24,I will destroy it.
1,14,138,00:10:14:11,00:10:15:22,You must lose something as well.
1,14,139,00:10:16:10,00:10:17:21,What a pity.
1,14,140,00:10:17:23,00:10:20:06,"Your heartwrenching love
will be thrown away."
1,14,141,00:10:25:13,00:10:26:24,Do as you please.
1,14,142,00:10:27:22,00:10:29:08,That jade did its job
1,14,143,00:10:29:10,00:10:31:14,"by allowing my young master
to have ten duels."
1,14,144,00:10:31:16,00:10:34:18,"Did you not say that
this was precious enough to bet your life?"
1,14,145,00:10:35:24,00:10:38:11,"If he and I shared feelings
worth betting my life on,"
1,14,146,00:10:39:22,00:10:43:05,"losing that would not affect
the feelings we have toward each other."
1,14,147,00:10:50:09,00:10:52:24,"So you really do not care
if you lose this?"
1,14,148,00:10:54:04,00:10:55:06,Fine.
1,14,149,00:10:56:07,00:10:57:17,Then I will throw this away.
1,14,150,00:11:08:04,00:11:09:18,So it really meant nothing to you.
