"text","character","season","episode"
"I shall retrieve his soul.","Jang Gang","1","1"
"No! You were the one who turned my son into a soul shifter.","Geon's mother","1","1"
"If word gets out that I used forbidden sorcery, we will both be doomed.","Jang Gang","1","1"
"A crack forms when the bodies clash with the souls they carry, which causes them to lose energy.","Jang Gang","1","1"
"I guess I should stop shifting souls.","Jang Gang","1","1"
"The alchemy of souls. That is forbidden sorcery.","Jang Gang","1","1"
"The energy of the sky rules the wind, clouds, and rain. This energy reached the ground and created a huge form of energy. A country was built around Lake Gyeongcheondaeho, a lake that embodied that energy.","Jang Uk","1","1"
"Humans who had the power to control this great energy were called mages.","Jang Uk","1","1"
"This story is about the mages of Daeho, a place that does not exist in both history books or maps.","Jang Uk","1","1"
"They call me Naksu, for wherever I go, heads fall to the ground. A beautiful name, is it not?","Naksu","1","1"
"This mark shows that her soul has left the body. Remember this mark. When someone tries to switch bodies, it leaves a blue bruise like this right on top of their heart.","Heo Yeom","1","1"
"She seems to have tried, but I think she failed.","Park Jin","1","1"
"This proves that her soul has escaped her body, but we found no signs of her soul having entered another body.","Park Jin","1","1"
"She may have been an assassin who killed people like it was nothing, but she was still human. She must have had a story of her own.","Heo Yeom","1","1"
"Word will spread about the alchemy of souls.","Park Jin","1","1"
"Has it been 20 years since we have seen a soul shifter?","Heo Yeom","1","1"
"You seem awfully excited to start rumors.","Park Jin","1","1"
"Now that I have learned a big lesson, I would like to end it and leave.","Jang Uk","1","1"
"No one in this world will teach you spells because of your father.","Monk Ho-Yeong","1","1"
"I will find my own master. Someone extremely powerful and skilled.","Jang Uk","1","1"
"I should not switch bodies too soon. Let us stay as Mu-deok for now.","Mu-deok / Naksu","1","1"
"And they are called the Four Seasons. The daughter of the Jin family who has the vitality of spring: Jin Cho-yeon. The heir of the Park family who has the energy of a hot summer: Park Dang-gu. The genius of the Seo family who is as noble as the sunset in fall: Seo Yul. Then there is Jang Uk, the successor of the Jang family who is as dazzling as the winter snow.","Ju-Wol","1","1"
"The Jin, Park, Seo, and Jang family. They are the most well-known mage families in Daeho. Their children are known as the Four Seasons.","Ju-Wol","1","1"
"You flick energy with a blade just like how you flick water. A single strike is enough to kill someone.","Park Dang-Gu","1","1"
"Yes, she aimed at my vital point in just one go. But why did she roll off then? ","Jang Uk","1","1"
"You cannot even take out your own father's sword. How do you expect to learn spells?","Park Jin","1","1"
"No one in Daeho will be able to go against your father and open your gate of energy. ","Park Jin","1","1"
"Why would he decide my own fate?","Jang Uk","1","1"
"I will find someone myself. A master who will open my gate of energy and teach me how to practice spells. Then I will take out that sword and break it in two.","Jang Uk","1","1"
"I knew the moment I saw you. You are my master.","Jang Uk","1","1"
"The soul shifter Naksu, the Shadow Assassin, I have been searching for someone who can break this spell to call my master. I want you to be my master.","Jang Uk","1","1"
"I have blocked his gate of energy. He will not be able to learn any spells while he is alive.","Jang Gang","1","2"
"I forbid anyone from opening his gate of energy!","Jang Gang","1","2"
"And finally, I have met the master who will change my fate. I knew the moment I saw you. ","Jang Uk","1","2"
"I am planning to save you. You will not get caught if you stay by my side.","Jang Uk","1","2"
"How should you address me if you want to lie low? Young Master","Jang Uk","1","2"
"Only those of Songrim can break the barrier.","Park Jin","1","2"
"We could form a beautiful relationship where we benefit from each other.","Jang Uk","1","2"
"How merciless. After all, I helped you.","Jang Uk","1","2"
"Sorry that I am so merciless for such a cute face.","Mu-deok / Naksu","1","2"
"I thought you were pretending to be clumsy.","Jang Uk","1","2"
"Taking sides? Are you seriously that childish?","Mu-deok / Naksu","1","2"
"Why are you talking casually in this situation?","Jang Uk","1","2"
"The alchemy of souls, a type of sorcery, has one weakness. There is a gap between the body and the soul. The evil energy seeps out from it. And Gwigu can detect that. ","Park Dang-Gu","1","2"
"Uk, feign ignorance even if I get caught.","Mu-deok / Naksu","1","2"
"Stay right by my side. No one here will let that thing attack me.","Jang Uk","1","2"
"I see. How evil. ","Jang Uk","1","2"
"By the way, you have the habit of glaring at others. Keep doing that, and you will get caught.","Jang Uk","1","2"
"Anyone who came that close to me died in my hands.","Mu-deok / Naksu","1","2"
"But what kind of an heirloom is this fragile?","Jang Uk","1","2"
"Then open his gate of energy for him. He desperately wants it. You are his friends. ","Mu-deok / Naksu","1","2"
"Then he is already being punished for his entire lifetime.","Mu-deok / Naksu","1","2"
"The people I have met so far only wanted me dead. You are the first person who tried to save me.","Mu-deok / Naksu","1","2"
"Even if we meet again and come this close to each other, I will spare you.","Mu-deok / Naksu","1","2"
