season,episode,timecode_in,timecode_out,duration,number_line,text
1,1,"00:01:28,296","00:01:29,798",1.50,1,You poor thing.
1,1,"00:01:30,590","00:01:32,884",2.29,2,"Child, eat this."
1,1,"00:01:32,967","00:01:34,135",1.17,3,Child.
1,1,"00:01:36,721","00:01:37,806",1.08,4,Go on.
1,1,"00:01:42,185","00:01:43,728",1.54,5,I will bring you more meat.
1,1,"00:01:44,312","00:01:45,730",1.42,6,Eat slowly.
1,1,"00:02:26,312","00:02:27,313",1.00,7,Mom.
1,1,"00:03:20,199","00:03:21,284",1.08,8,Geon!
1,1,"00:03:24,954","00:03:27,832",2.88,9,I told you to reach out to me if anything were to happen to him.
1,1,"00:03:27,916","00:03:29,667",1.75,10,How could you let things come to this?
1,1,"00:03:29,751","00:03:32,295",2.54,11,He will be fine once he absorbs human energy.
1,1,"00:03:32,378","00:03:33,880",1.50,12,He returns back to normal.
1,1,"00:03:33,963","00:03:35,840",1.88,13,Your son has run wild.
1,1,"00:03:39,677","00:03:41,179",1.50,14,I shall retrieve his soul.
1,1,"00:03:42,138","00:03:43,848",1.71,15,No!
1,1,"00:03:43,932","00:03:46,392",2.46,16,You were the one who turned my son into a soul shifter.
1,1,"00:03:46,476","00:03:48,645",2.17,17,"Either get him another body,"
1,1,"00:03:48,728","00:03:50,980",2.25,18,or feed him the energy of human souls!
1,1,"00:03:51,731","00:03:53,024",1.29,19,Bring back my son.
1,1,"00:03:53,566","00:03:55,276",1.71,20,Bring back my son!
1,1,"00:03:55,944","00:03:58,029",2.08,21,"If word gets out that I used forbidden sorcery,"
1,1,"00:03:59,030","00:04:00,615",1.59,22,we will both be doomed.
1,1,"00:04:01,241","00:04:02,867",1.63,23,No…
1,1,"00:04:02,951","00:04:03,785",0.83,24,Please…
1,1,"00:04:08,164","00:04:10,541",2.38,25,"No, please. Geon."
1,1,"00:04:11,417","00:04:14,045",2.63,26,Stay with me for just a bit longer.
1,1,"00:04:14,671","00:04:15,797",1.13,27,My son…
1,1,"00:05:28,286","00:05:31,831",3.55,28,Why do the bodies of soul shifters turn like rocks when they run wild?
1,1,"00:05:31,914","00:05:35,209",3.30,29,"A crack forms when the bodies clash with the souls they carry,"
1,1,"00:05:36,294","00:05:38,338",2.04,30,which causes them to lose energy.
1,1,"00:05:38,921","00:05:41,591",2.67,31,This is already the eighth soul that has run wild.
1,1,"00:05:42,133","00:05:44,552",2.42,32,I guess I should stop shifting souls.
1,1,"00:05:45,178","00:05:46,971",1.79,33,You should go to the royal palace.
1,1,"00:05:48,222","00:05:51,768",3.55,34,His Majesty has been asking about the new spell
1,1,"00:05:51,851","00:05:53,519",1.67,35,that you have been trying to master.
1,1,"00:06:28,429","00:06:29,514",1.09,36,I hear…
1,1,"00:06:30,556","00:06:33,392",2.84,37,you have been trying to master a new kind of spell.
1,1,"00:06:33,893","00:06:37,563",3.67,38,It is nothing grand. It is just a trick I tried out for fun.
1,1,"00:06:38,189","00:06:41,442",3.25,39,I know I cannot ask to live for longer.
1,1,"00:06:41,526","00:06:42,693",1.17,40,"However,"
1,1,"00:06:42,777","00:06:45,947",3.17,41,it saddens me that I do not have an heir.
1,1,"00:06:46,781","00:06:48,783",2.00,42,I wish you a quick recovery.
1,1,"00:06:49,575","00:06:52,078",2.50,43,I cannot do anything with this sick body.
1,1,"00:06:52,870","00:06:55,039",2.17,44,But I might have a chance
1,1,"00:06:56,124","00:06:59,794",3.67,45,if I were to live in a body that is young and healthy.
1,1,"00:07:01,754","00:07:04,715",2.96,46,There is no way for humans to switch bodies.
1,1,"00:07:08,010","00:07:10,263",2.25,47,But you can.
1,1,"00:07:14,392","00:07:15,518",1.13,48,The alchemy of souls.
1,1,"00:07:23,985","00:07:25,862",1.88,49,That is forbidden sorcery.
1,1,"00:07:25,945","00:07:29,240",3.30,50,"If a soul clashes with the body, it could even turn into an evil spirit."
1,1,"00:07:29,323","00:07:30,908",1.59,51,How could I dare
1,1,"00:07:30,992","00:07:33,536",2.54,52,move the soul of a king to another person's body?
1,1,"00:07:33,619","00:07:36,038",2.42,53,How about your body?
1,1,"00:07:39,208","00:07:41,210",2.00,54,Not for too long. Just seven days.
1,1,"00:07:41,752","00:07:43,671",1.92,55,Let us switch bodies for just seven days.
1,1,"00:07:46,841","00:07:49,927",3.09,56,I heard you once gave a soul a dead man's body
1,1,"00:07:50,720","00:07:53,347",2.63,57,and that it lived in that body for over half a year.
1,1,"00:07:54,557","00:07:58,728",4.17,58,"I am a king protected by the skies, and you are the best mage in this land."
1,1,"00:07:58,811","00:08:00,313",1.50,59,So what is there to worry about?
1,1,"00:08:01,522","00:08:04,901",3.38,60,"And after seven days, you can turn things back."
1,1,"00:08:08,196","00:08:11,157",2.96,61,You have mastered the ability to do something
1,1,"00:08:11,240","00:08:12,742",1.50,62,that only the best mages can do.
1,1,"00:08:14,035","00:08:15,870",1.83,63,Yet you are just wasting your time
1,1,"00:08:15,953","00:08:17,914",1.96,64,shifting souls into dead bodies.
1,1,"00:08:22,835","00:08:23,961",1.13,65,Jang Gang.
1,1,"00:08:24,670","00:08:26,380",1.71,66,Give this king a different body.
1,1,"00:11:07,291","00:11:09,877",2.59,67,His Majesty and I have switched bodies.
1,1,"00:11:18,594","00:11:20,846",2.25,68,I shall make Do-hwa mine.
1,1,"00:11:20,930","00:11:23,432",2.50,69,"If she bears a child, know that it is mine."
1,1,"00:11:25,935","00:11:27,186",1.25,70,Do-hwa.
1,1,"00:11:31,607","00:11:32,733",1.13,71,Do-hwa.
1,1,"00:11:34,068","00:11:35,694",1.63,72,You are very beautiful.
1,1,"00:11:46,831","00:11:49,375",2.54,73,"No, that cannot happen."
1,1,"00:11:53,921","00:11:56,757",2.84,74,That cannot happen.
1,1,"00:11:57,425","00:11:58,634",1.21,75,No!
1,1,"00:12:20,948","00:12:24,034",3.09,76,"The energy of the sky rules the wind, clouds, and rain."
1,1,"00:12:24,535","00:12:26,162",1.63,77,This energy reached the ground
1,1,"00:12:27,746","00:12:29,957",2.21,78,and created a huge form of energy.
1,1,"00:12:30,040","00:12:32,418",2.38,79,"A country was built around Lake Gyeongcheondaeho,"
1,1,"00:12:32,501","00:12:34,462",1.96,80,a lake that embodied that energy.
1,1,"00:12:34,545","00:12:38,174",3.63,81,"The name of the country was Daeho, due to the enormous lake it had."
1,1,"00:12:40,259","00:12:43,512",3.25,82,Humans who had the power to control this great energy
1,1,"00:12:43,596","00:12:45,264",1.67,83,were called mages.
1,1,"00:12:47,224","00:12:50,352",3.13,84,"This story is about the mages of Daeho, a place that does not exist"
1,1,"00:12:50,436","00:12:52,396",1.96,85,in both history books or maps.
1,1,"00:13:08,287","00:13:12,041",3.75,86,20 YEARS LATER
1,1,"00:13:21,467","00:13:22,885",1.42,87,"So you are Naksu,"
1,1,"00:13:22,968","00:13:24,970",2.00,88,the Shadow Assassin who has been going around
1,1,"00:13:25,596","00:13:27,014",1.42,89,killing the mages in the city.
1,1,"00:13:27,097","00:13:28,682",1.59,90,"They call me Naksu,"
1,1,"00:13:28,766","00:13:31,060",2.29,91,"for wherever I go,"
1,1,"00:13:31,143","00:13:32,311",1.17,92,heads fall to the ground.
1,1,"00:13:33,062","00:13:34,772",1.71,93,"A beautiful name, is it not?"
1,1,"00:13:35,981","00:13:37,024",1.04,94,Kill her.
1,1,"00:13:39,485","00:13:40,361",0.88,95,Shoot!
1,1,"00:16:38,664","00:16:40,124",1.46,96,Do not let her get away.
1,1,"00:16:40,791","00:16:42,292",1.50,97,"-Capture her. -Yes, my lord!"
1,1,"00:16:55,180","00:16:56,890",1.71,98,Let us go that way. Follow me.
1,1,"00:17:07,443","00:17:08,694",1.25,99,Over there!
1,1,"00:17:58,786","00:18:00,162",1.38,100,I will not die like this.
1,1,"00:18:00,996","00:18:02,206",1.21,101,I cannot.
1,1,"00:18:11,048","00:18:15,135",4.09,102,"Goodness, you are so impatient. I am coming."
1,1,"00:18:31,235","00:18:32,486",1.25,103,What do you want?
1,1,"00:18:35,572","00:18:37,741",2.17,104,"Oh, my goodness!"
1,1,"00:19:02,432","00:19:03,725",1.29,105,TAVERN
1,1,"00:19:11,316","00:19:12,484",1.17,106,She is dead.
1,1,"00:19:33,839","00:19:35,549",1.71,107,She does not have the blue mark.
1,1,"00:19:39,344","00:19:41,930",2.59,108,This blue mark proves that her soul has left this body.
1,1,"00:19:43,348","00:19:44,808",1.46,109,Does that mean she failed
1,1,"00:19:45,976","00:19:47,352",1.38,110,to enter another body?
1,1,"00:20:16,256","00:20:21,094",4.84,111,SONGRIM
1,1,"00:20:24,556","00:20:25,474",0.92,112,One.
1,1,"00:20:27,893","00:20:28,727",0.83,113,Two.
1,1,"00:20:30,520","00:20:31,563",1.04,114,Three.
1,1,"00:20:50,916","00:20:53,460",2.54,115,"Yul, come here."
1,1,"00:20:57,673","00:20:59,216",1.54,116,Is she Naksu?
1,1,"00:21:00,050","00:21:01,009",0.96,117,Yes.
1,1,"00:21:02,427","00:21:05,555",3.13,118,This mark shows that her soul has left the body.
1,1,"00:21:06,139","00:21:09,017",2.88,119,"Remember this mark. When someone tries to switch bodies,"
1,1,"00:21:09,101","00:21:12,813",3.71,120,it leaves a blue bruise like this right on top of their heart.
1,1,"00:21:13,939","00:21:16,817",2.88,121,Does that mean her soul escaped her body?
1,1,"00:21:16,900","00:21:20,404",3.50,122,"She seems to have tried, but I think she failed."
1,1,"00:21:21,154","00:21:23,365",2.21,123,"This proves that her soul has escaped her body,"
1,1,"00:21:23,448","00:21:27,286",3.84,124,but we found no signs of her soul having entered another body.
1,1,"00:21:37,421","00:21:39,798",2.38,125,-It is a whistle. -A whistle?
1,1,"00:21:39,881","00:21:42,759",2.88,126,I once had a similar one myself back when I had a pet bird.
1,1,"00:21:44,720","00:21:47,139",2.42,127,Did she have a pet bird?
1,1,"00:21:47,222","00:21:49,224",2.00,128,I think she had it for quite a while.
1,1,"00:21:50,017","00:21:51,810",1.79,129,It looks like it is an important item.
1,1,"00:21:52,644","00:21:55,772",3.13,130,"She may have been an assassin who killed people like it was nothing,"
1,1,"00:21:55,856","00:22:00,235",4.38,131,but she was still human. She must have had a story of her own.
1,1,"00:22:08,160","00:22:10,746",2.59,132,A lot of people have already seen Naksu's body.
1,1,"00:22:10,829","00:22:13,040",2.21,133,Word will spread about the alchemy of souls.
1,1,"00:22:13,707","00:22:16,710",3.00,134,Has it been 20 years since we have seen a soul shifter?
1,1,"00:22:17,252","00:22:18,253",1.00,135,Yes.
1,1,"00:22:19,338","00:22:22,758",3.42,136,The last soul shifter ran wild and ended up killing many people.
1,1,"00:22:23,759","00:22:27,095",3.34,137,I am worried that might happen again.
1,1,"00:22:27,679","00:22:30,057",2.38,138,Uncle!
1,1,"00:22:31,892","00:22:34,644",2.75,139,"Uncle, I heard Naksu was a soul shifter."
1,1,"00:22:35,228","00:22:37,147",1.92,140,"Master Heo, did you see her too?"
1,1,"00:22:37,230","00:22:40,692",3.46,141,You seem awfully excited to start rumors.
1,1,"00:22:40,776","00:22:43,445",2.67,142,Rumors have already spread. I came as soon as I heard.
1,1,"00:22:44,071","00:22:45,906",1.84,143,-Where did you hear it? -At Chwiseonru.
1,1,"00:22:45,989","00:22:47,699",1.71,144,You are a mage of Jeongjingak.
1,1,"00:22:47,783","00:22:51,578",3.80,145,"But instead of practicing, you go to bars and listen to rumors."
1,1,"00:22:53,121","00:22:57,626",4.50,146,"Songrim Jeongjingak is not only a place for mages to practice their spells,"
1,1,"00:22:57,709","00:22:59,586",1.88,147,but also a place to gather information.
1,1,"00:23:00,629","00:23:03,006",2.38,148,"Also, Dang-gu here will"
1,1,"00:23:03,090","00:23:05,258",2.17,149,follow in your footsteps
1,1,"00:23:05,342","00:23:07,427",2.08,150,and become the leader of the Songrim household.
1,1,"00:23:07,511","00:23:09,346",1.84,151,He should know his liquor.
1,1,"00:23:09,429","00:23:10,472",1.04,152,"Now, tell me."
1,1,"00:23:11,181","00:23:13,475",2.29,153,Which liquor tastes best at Chwiseonru?
1,1,"00:23:14,434","00:23:17,395",2.96,154,I do not go there as often anymore now that Uk is not here.
1,1,"00:23:17,479","00:23:19,481",2.00,155,"""Uk""? The son of Jang Gang?"
1,1,"00:23:19,564","00:23:23,944",4.38,156,Is he not learning how to write at the village school in Yeongchundang?
1,1,"00:23:24,027","00:23:26,113",2.09,157,He got kicked out of there ages ago.
1,1,"00:23:26,196","00:23:28,115",1.92,158,"Right now, he is in Gisan."
1,1,"00:23:28,198","00:23:31,910",3.71,159,I sent him to receive training from Buddhist Monk Ho-yeong.
1,1,"00:23:33,370","00:23:37,082",3.71,160,Uk went to train at a Buddhist temple this time?
1,1,"00:23:38,708","00:23:41,545",2.84,161,"Today, I shall end my training."
1,1,"00:23:43,046","00:23:45,715",2.67,162,You have not even finished your training.
1,1,"00:23:45,799","00:23:48,927",3.13,163,How dare you decide to end the training without my permission.
1,1,"00:23:49,010","00:23:50,387",1.38,164,"You asked me to expand my knowledge,"
1,1,"00:23:50,470","00:23:53,306",2.84,165,so I read and memorized hundreds of spell books.
1,1,"00:23:53,390","00:23:55,142",1.75,166,"You asked me to train my mind,"
1,1,"00:23:55,225","00:23:57,769",2.54,167,so I patiently sharpened hundreds of swords.
1,1,"00:23:57,853","00:24:01,773",3.92,168,"However, you never taught me any kind of spell."
1,1,"00:24:02,399","00:24:04,734",2.34,169,The only lesson I learned here is that
1,1,"00:24:04,818","00:24:09,322",4.50,170,you have no intentions of teaching me spells at all.
1,1,"00:24:09,906","00:24:12,367",2.46,171,"Now that I have learned a big lesson,"
1,1,"00:24:12,450","00:24:14,119",1.67,172,I would like to end it and leave.
1,1,"00:24:14,619","00:24:17,831",3.21,173,The leader of Songrim asked me to keep you here for three years.
1,1,"00:24:17,914","00:24:21,209",3.30,174,I know you are building a sanctuary with the money I paid you in advance.
1,1,"00:24:21,293","00:24:24,171",2.88,175,"I will not ask for a refund, so I hope it is successfully built."
1,1,"00:24:26,298","00:24:29,301",3.00,176,Where do you think you are going? I never said you could leave!
1,1,"00:24:31,178","00:24:34,598",3.42,177,Did it sound like I was asking for your permission?
1,1,"00:24:37,184","00:24:39,269",2.09,178,You were conceived through your mother's affair
1,1,"00:24:39,352","00:24:41,021",1.67,179,and were abandoned by your father.
1,1,"00:24:41,104","00:24:43,607",2.50,180,So what would you know about respecting your master?
1,1,"00:24:43,690","00:24:46,443",2.75,181,I refuse to teach a guy like you.
1,1,"00:24:47,485","00:24:49,654",2.17,182,"I may not know much about respecting a master,"
1,1,"00:24:49,738","00:24:51,364",1.63,183,but I do know how to be a creditor.
1,1,"00:24:51,448","00:24:53,033",1.58,184,"Say one more word,"
1,1,"00:24:53,116","00:24:55,327",2.21,185,and you will not be able to build that sanctuary.
1,1,"00:24:56,953","00:24:58,747",1.79,186,Because I will be getting a refund.
1,1,"00:24:59,456","00:25:04,211",4.76,187,No one in this world will teach you spells because of your father.
1,1,"00:25:04,294","00:25:06,838",2.54,188,"Goodness, thank you for your concern."
1,1,"00:25:07,881","00:25:11,384",3.50,189,I will find my own master.
1,1,"00:25:12,135","00:25:15,263",3.13,190,Someone extremely powerful and skilled.
1,1,"00:25:32,530","00:25:34,199",1.67,191,"Mu-deok, are you all right?"
1,1,"00:26:35,093","00:26:38,013",2.92,192,Why did I have to enter a body like this one?
1,1,"00:26:41,016","00:26:43,226",2.21,193,I am sure she was blind.
1,1,"00:26:48,356","00:26:50,150",1.79,194,But why is it that I see?
1,1,"00:26:50,817","00:26:52,527",1.71,195,Is it because I am a different soul?
1,1,"00:26:55,322","00:26:58,116",2.79,196,She did not even have a blue mark showing I entered her body.
1,1,"00:26:58,199","00:26:59,617",1.42,197,How unusual.
1,1,"00:27:00,702","00:27:03,747",3.05,198,"Try to bear with the motion sickness. We are almost there, Mu-deok."
1,1,"00:27:06,291","00:27:07,250",0.96,199,"""Mu-deok."""
1,1,"00:27:07,334","00:27:10,837",3.50,200,She is a blind girl from the countryside who got sold off to the fortress.
1,1,"00:27:14,382","00:27:15,759",1.38,201,Sit down. You will fall.
1,1,"00:27:26,728","00:27:28,188",1.46,202,Thanks for the journey.
1,1,"00:27:29,064","00:27:30,065",1.00,203,I will be off now.
1,1,"00:27:42,494","00:27:43,787",1.29,204,What is wrong with me?
1,1,"00:27:44,329","00:27:45,705",1.38,205,I have no strength.
1,1,"00:27:46,456","00:27:48,875",2.42,206,Is this body not capable of even climbing this?
1,1,"00:27:50,960","00:27:52,128",1.17,207,My arms feel weak.
