season,episode,timecode_in,timecode_out,duration_line,line_order,text_line
1,2,"00:00:36,619","00:00:39,709",3.09,1,20 YEARS AGO
1,2,"00:00:41,468","00:00:43,138",1.67,2,My lady…
1,2,"00:00:45,628","00:00:47,508",1.88,3,My lady…
1,2,"00:00:56,181","00:00:57,721",1.54,4,My lady…
1,2,"00:01:01,644","00:01:03,774",2.13,5,I shall make Do-hwa mine.
1,2,"00:01:03,855","00:01:06,475",2.62,6,"If she bears a child, know that it is mine."
1,2,"00:01:12,530","00:01:14,280",1.75,7,My lady…
1,2,"00:01:15,200","00:01:16,530",1.33,8,My lord.
1,2,"00:01:16,618","00:01:18,198",1.58,9,"Where are you going, my lord?"
1,2,"00:01:28,880","00:01:30,590",1.71,10,I heard about Do-hwa.
1,2,"00:01:31,174","00:01:32,804",1.63,11,We were just about to head over.
1,2,"00:01:32,884","00:01:36,814",3.93,12,Why are you here when you should be mourning her?
1,2,"00:01:37,514","00:01:40,564",3.05,13,I came here because this was the only way to change his fate.
1,2,"00:02:00,120","00:02:01,120",1.00,14,What are you doing?
1,2,"00:02:27,230","00:02:29,150",1.92,15,What have you done?
1,2,"00:02:29,232","00:02:31,282",2.05,16,I have blocked his gate of energy.
1,2,"00:02:32,110","00:02:34,570",2.46,17,He will not be able to learn any spells while he is alive.
1,2,"00:02:37,740","00:02:41,160",3.42,18,I forbid anyone from opening his gate of energy!
1,2,"00:02:41,911","00:02:45,921",4.01,19,How could you do this to your son?
1,2,"00:02:47,834","00:02:49,044",1.21,20,My son?
1,2,"00:02:58,344","00:03:00,514",2.17,21,Why would he decide my own fate?
1,2,"00:03:01,806","00:03:04,016",2.21,22,No one even considers him as my true father anyway!
1,2,"00:03:04,809","00:03:05,979",1.17,23,I will find someone.
1,2,"00:03:06,603","00:03:10,521",3.92,24,A master who will open my gate of energy and teach me how to practice spells.
1,2,"00:03:11,482","00:03:13,322",1.84,25,I will find someone myself.
1,2,"00:03:14,569","00:03:17,029",2.46,26,Then I will take out that sword and break it in two.
1,2,"00:03:22,201","00:03:26,041",3.84,27,I have met a total of 12 masters and have been kicked out every time.
1,2,"00:03:27,832","00:03:31,252",3.42,28,"And finally, I have met the master who will change my fate."
1,2,"00:03:42,889","00:03:44,719",1.83,29,I knew the moment I saw you.
1,2,"00:03:46,476","00:03:47,846",1.37,30,You are my master.
1,2,"00:03:58,738","00:04:03,407",4.67,31,"Did you find something special about me, Young Master?"
1,2,"00:04:06,371","00:04:08,251",1.88,32,I told you that you have beautiful eyes.
1,2,"00:04:08,331","00:04:10,671",2.34,33,"Right, sorry."
1,2,"00:04:08,331","00:04:10,671",2.34,34,Only your eyes are beautiful.
1,2,"00:04:12,335","00:04:14,835",2.50,35,The soul shifter's blue mark has bloomed inside them.
1,2,"00:04:16,589","00:04:18,509",1.92,36,So the mark was inside my eyes.
1,2,"00:04:22,887","00:04:24,177",1.29,37,You are going to fight me?
1,2,"00:04:24,264","00:04:25,974",1.71,38,Killing you would be a breeze.
1,2,"00:04:26,557","00:04:27,847",1.29,39,But this is Songrim.
1,2,"00:04:28,601","00:04:30,021",1.42,40,You will get caught.
1,2,"00:04:42,532","00:04:44,622",2.09,41,I am planning to save you.
1,2,"00:04:44,701","00:04:47,751",3.05,42,You will not get caught if you stay by my side.
1,2,"00:05:01,718","00:05:03,928",2.21,43,How should you address me if you want to lie low?
1,2,"00:05:06,431","00:05:21,903",15.47,44,"""Young Master."" Jang Uk?"
1,2,"00:05:22,572","00:05:23,782",1.21,45,"Yes, it is me."
1,2,"00:05:24,282","00:05:25,742",1.46,46,Why are you here?
1,2,"00:05:29,495","00:05:30,535",1.04,47,And who is she?
1,2,"00:05:31,914","00:05:32,754",0.84,48,Right.
1,2,"00:05:34,042","00:05:36,002",1.96,49,"She is Mu-deok, my maid."
