season,episode,timecode_in,timecode_out,duration_line,line_order,text_line
1,6,"00:00:56,097","00:00:58,137",2.04,1,Yul from the Seo family.
1,6,"00:00:59,851","00:01:01,441",1.59,2,Do not come back here ever again.
1,6,"00:01:07,817","00:01:12,283",4.47,3,"If we meet again, I will kill you."
1,6,"00:01:17,744","00:01:47,444",29.70,4,Wait-- I could not stop her from leaving.
1,6,"00:01:48,858","00:01:50,688",1.83,5,I could not ask her why.
1,6,"00:01:51,945","00:01:59,286",7.34,6,"The moment she sliced my sincerity in half, I could no longer cherish our memories together."
1,6,"00:02:00,578","00:02:03,208",2.63,7,It became a secret that I had to bury within my heart.
1,6,"00:02:09,546","00:02:12,966",3.42,8,You are up early. Why are you out here?
1,6,"00:02:17,262","00:02:21,016",3.75,9,Why… did you come here?
1,6,"00:02:23,768","00:02:26,098",2.33,10,I caught a bird. I will cook it for you.
1,6,"00:02:28,982","00:02:30,482",1.50,11,I do not enjoy eating.
1,6,"00:02:30,567","00:02:32,527",1.96,12,I will be cooking rice with chestnuts.
1,6,"00:02:33,653","00:02:35,913",2.26,13,The chestnuts here are very sweet.
1,6,"00:02:39,784","00:02:42,584",2.80,14,Danhyanggok has very sweet chestnuts.
1,6,"00:02:55,758","00:02:57,218",1.46,15,I do not enjoy sweet things.
1,6,"00:03:00,555","00:03:02,765",2.21,16,You could have just declined.
1,6,"00:03:02,849","00:03:05,229",2.38,17,"Given your power, you could have killed me just now."
1,6,"00:03:07,770","00:03:09,190",1.42,18,Do not overreact.
1,6,"00:03:10,148","00:03:13,478",3.33,19,"While it is true I pushed you away, it was with no intention to kill."
1,6,"00:03:13,568","00:03:15,148",1.58,20,So you did push me away.
1,6,"00:03:15,778","00:03:17,698",1.92,21,Do not bother to prepare breakfast.
1,6,"00:03:17,780","00:03:19,240",1.46,22,I will leave once Dang-gu wakes up.
1,6,"00:03:19,324","00:03:21,874",2.55,23,Be my guest if you do not wish to eat.
1,6,"00:03:38,509","00:03:39,889",1.38,24,Why are you still here?
1,6,"00:03:41,763","00:03:43,013",1.25,25,I will eat before I go.
1,6,"00:03:43,598","00:03:44,678",1.08,26,Prepare some food for me.
1,6,"00:03:44,766","00:03:46,386",1.62,27,I thought you did not wish to eat.
1,6,"00:03:46,976","00:03:49,266",2.29,28,I never said that.
1,6,"00:03:46,976","00:03:49,266",2.29,29,Do not put words in my mouth.
1,6,"00:03:51,981","00:03:56,321",4.34,30,"Since you were drunk yesterday, I thought you would still be hungover."
1,6,"00:03:56,402","00:03:58,952",2.55,31,I only declined because I did not want to burden you.
1,6,"00:04:00,031","00:04:01,241",1.21,32,I understand.
1,6,"00:04:02,033","00:04:05,874",3.84,33,"In that case, -I should rinse some more rice."
1,6,"00:04:03,284","00:04:05,874",2.59,34,Where is it?
1,6,"00:04:06,537","00:04:09,247",2.71,35,I will do it.
1,6,"00:04:06,537","00:04:09,247",2.71,36,Have you cooked rice before?
1,6,"00:04:09,332","00:04:12,632",3.30,37,"I have not, but I can do it as long as you teach me."
1,6,"00:04:13,753","00:04:15,173",1.42,38,It is quite simple.
1,6,"00:04:15,838","00:04:20,844",5.01,39,"Rinse it in water, then pour in a decent amount of water, and cook it on high heat."
1,6,"00:04:21,678","00:04:23,848",2.17,40,Then let it sit for some time.
1,6,"00:04:25,181","00:04:26,891",1.71,41,It is pretty simple.
1,6,"00:04:35,608","00:04:38,068",2.46,42,You said you could do it if I taught you.
1,6,"00:04:38,152","00:04:39,862",1.71,43,You said it was simple.
1,6,"00:04:41,406","00:04:44,486",3.08,44,I was wrong. I am sorry.
1,6,"00:04:45,243","00:04:47,703",2.46,45,Jeez. Look at this.
1,6,"00:04:47,787","00:04:49,367",1.58,46,It is all burnt.
1,6,"00:04:50,164","00:04:52,254",2.09,47,Let me make it up to you.
1,6,"00:04:53,835","00:04:55,375",1.54,48,How about those vegetables?
1,6,"00:04:55,461","00:04:56,881",1.42,49,Teach me how to chop them.
1,6,"00:05:01,718","00:05:04,468",2.75,50,"Jeez, what a waste of rice."
1,6,"00:05:01,718","00:05:04,468",2.75,51,Goodness.
1,6,"00:05:11,352","00:05:12,692",1.34,52,Dang-gu.
1,6,"00:05:13,813","00:05:14,693",0.88,53,Hey.
1,6,"00:05:15,273","00:05:16,943",1.67,54,You should bathe here before you go.
1,6,"00:05:17,025","00:05:18,895",1.87,55,The mineral water makes your skin soft.
1,6,"00:05:18,985","00:05:20,565",1.58,56,Have some breakfast too.
1,6,"00:05:20,653","00:05:21,993",1.34,57,Right.
1,6,"00:05:22,071","00:05:24,201",2.13,58,Mu-deok and Yul are making breakfast together.
1,6,"00:05:25,116","00:05:26,486",1.37,59,Together?
1,6,"00:05:25,116","00:05:26,486",1.37,60,Yes.
1,6,"00:05:26,576","00:05:28,866",2.29,61,Yul is cooking rice with Mu-deok.
1,6,"00:05:39,547","00:05:40,417",0.87,62,Goodness.
1,6,"00:05:41,299","00:05:44,929",3.63,63,I told you to cut the green onions into big pieces.
1,6,"00:05:49,932","00:05:51,022",1.09,64,This big?
1,6,"00:05:49,932","00:05:51,022",1.09,65,No.
1,6,"00:05:51,684","00:05:54,234",2.55,66,"Do you not understand what ""big pieces"" mean?"
1,6,"00:05:54,312","00:05:55,902",1.59,67,Big pieces.
1,6,"00:05:58,316","00:06:00,026",1.71,68,Big pieces…
1,6,"00:06:00,109","00:06:01,399",1.29,69,You are wrong.
1,6,"00:06:01,486","00:06:03,196",1.71,70,Those are too small.
1,6,"00:06:04,947","00:06:05,907",0.96,71,Like this.
1,6,"00:06:06,574","00:06:09,914",3.34,72,Big pieces. Like this.
1,6,"00:06:11,079","00:06:14,039",2.96,73,You should have elaborated more.
1,6,"00:06:14,123","00:06:17,043",2.92,74,"How was I to know when all you said was ""big pieces""?"
1,6,"00:06:17,126","00:06:19,456",2.33,75,I thought you were the best mage of Jeongjingak.
1,6,"00:06:19,545","00:06:23,005",3.46,76,How could you not differentiate what is big from small?
1,6,"00:06:24,217","00:06:25,127",0.91,77,Forget it.
1,6,"00:06:25,218","00:06:27,638",2.42,78,Pour a bowl of water into that soup.
1,6,"00:06:35,478","00:06:36,438",0.96,79,Wait…
1,6,"00:06:37,230","00:06:39,190",1.96,80,Which bowl are you talking about?
