"season","episode","number_line","timecode_in","timecode_out","text"
"1","6","1","00:00:56:02","00:00:58:03","Yul from the Seo family."
"1","6","2","00:00:59:21","00:01:01:11","Do not come back here ever again."
"1","6","3","00:01:07:20","00:01:09:05","If we meet again,"
"1","6","4","00:01:10:16","00:01:12:07","I will kill you."
"1","6","5","00:01:17:18","00:01:18:14","Wait--"
"1","6","6","00:01:44:15","00:01:47:11","I could not stop her from leaving."
"1","6","7","00:01:48:21","00:01:50:17","I could not ask her why."
"1","6","8","00:01:51:23","00:01:55:04","The moment she sliced
my sincerity in half,"
"1","6","9","00:01:56:15","00:01:59:07","I could no longer cherish
our memories together."
"1","6","10","00:02:00:14","00:02:03:05","It became a secret
that I had to bury within my heart."
"1","6","11","00:02:09:13","00:02:12:24","You are up early. Why are you out here?"
"1","6","12","00:02:17:06","00:02:18:14","Why…"
"1","6","13","00:02:19:13","00:02:21:00","did you come here?"
"1","6","14","00:02:23:19","00:02:26:02","I caught a bird. I will cook it for you."
"1","6","15","00:02:28:24","00:02:30:12","I do not enjoy eating."
"1","6","16","00:02:30:14","00:02:32:13","I will be cooking rice with chestnuts."
"1","6","17","00:02:33:16","00:02:35:22","The chestnuts here are very sweet."
"1","6","18","00:02:39:19","00:02:42:14","Danhyanggok has very sweet chestnuts."
"1","6","19","00:02:55:18","00:02:57:05","I do not enjoy sweet things."
"1","6","20","00:03:00:13","00:03:02:19","You could have just declined."
"1","6","21","00:03:02:21","00:03:05:05","Given your power,
you could have killed me just now."
"1","6","22","00:03:07:19","00:03:09:04","Do not overreact."
"1","6","23","00:03:10:03","00:03:13:11","While it is true I pushed you away,
it was with no intention to kill."
"1","6","24","00:03:13:14","00:03:15:03","So you did push me away."
"1","6","25","00:03:15:19","00:03:17:17","Do not bother to prepare breakfast."
"1","6","26","00:03:17:19","00:03:19:06","I will leave once Dang-gu wakes up."
"1","6","27","00:03:19:08","00:03:21:21","Be my guest if you do not wish to eat."
"1","6","28","00:03:38:12","00:03:39:22","Why are you still here?"
"1","6","29","00:03:41:19","00:03:43:00","I will eat before I go."
"1","6","30","00:03:43:14","00:03:44:16","Prepare some food for me."
"1","6","31","00:03:44:19","00:03:46:09","I thought you did not wish to eat."
"1","6","32","00:03:46:24","00:03:49:06","I never said that.
Do not put words in my mouth."
"1","6","33","00:03:51:24","00:03:56:08","Since you were drunk yesterday,
I thought you would still be hungover."
"1","6","34","00:03:56:10","00:03:58:23","I only declined
because I did not want to burden you."
"1","6","35","00:04:00:00","00:04:01:06","I understand."
"1","6","36","00:04:02:00","00:04:03:05","In that case,"
"1","6","37","00:04:03:07","00:04:05:21","-I should rinse some more rice.
-Where is it?"
