"season","episode","number_line","timecode_in","timecode_out","text"
"1","9","1","00:00:51:06","00:00:53:10","That is the uniform
worn by Jeongjingak's mages."
"1","9","2","00:00:53:23","00:00:56:12","You will maintain your dignity
as Jeongjingak's mage"
"1","9","3","00:00:57:11","00:00:59:18","and do your best to master spells."
"1","9","4","00:01:06:13","00:01:09:06","That is the Spirit Plaque
given to Jeongjingak's mages."
"1","9","5","00:01:10:02","00:01:11:19","Those who possess it"
"1","9","6","00:01:11:21","00:01:15:08","are given full access to everything
in Songrim and Jeongjingak."
"1","9","7","00:01:21:09","00:01:23:02","That is the Book of Regulations."
"1","9","8","00:01:23:14","00:01:25:00","You will follow our rules,"
"1","9","9","00:01:25:14","00:01:29:12","and if you violate them,
you will be punished accordingly."
"1","9","10","00:01:31:11","00:01:34:03","Jang Uk, stand up and bow to the leader."
"1","9","11","00:01:57:15","00:01:58:17","Jang Uk, turn around"
"1","9","12","00:01:58:19","00:02:01:15","and bow to your fellow mages."
"1","9","13","00:02:23:05","00:02:27:00","From this moment forward, Jang Uk,
the eldest son of the Jang family,"
"1","9","14","00:02:27:18","00:02:30:08","is a mage of Songrim Jeongjingak."
"1","9","15","00:03:00:02","00:03:01:20","-Hey, Uk.
-Jang Uk."
"1","9","16","00:03:01:22","00:03:03:19","-Congratulations.
-Congratulations."
"1","9","17","00:03:03:21","00:03:06:19","-You have come a long way.
-All right, everyone."
"1","9","18","00:03:08:15","00:03:13:19","Tonight, we have a welcome ceremony
for our newest mage, Jang Uk."
"1","9","19","00:03:13:21","00:03:16:12","Let us all meet up at Chwiseonru."
"1","9","20","00:03:17:16","00:03:19:06","The Jang family has already paid"
"1","9","21","00:03:19:09","00:03:22:20","for every bottle of alcohol
and food at Chwiseonru."
"1","9","22","00:03:22:22","00:03:24:13","So everyone,"
"1","9","23","00:03:25:22","00:03:27:24","get ready to drink until you drop."
"1","9","24","00:03:34:22","00:03:36:02","Chwiseonru!"
"1","9","25","00:03:36:04","00:03:38:21","-Chwiseonru!
-Jang Uk!"
"1","9","26","00:03:38:23","00:03:43:12","I remember when Jang Gang came here
with a newborn baby like it was yesterday."
"1","9","27","00:03:43:14","00:03:45:05","I cannot believe this day has come."
"1","9","28","00:03:47:02","00:03:49:16","I cannot believe it either."
"1","9","29","00:03:52:02","00:03:53:03","Here."
"1","9","30","00:03:54:03","00:03:54:24","Eat this."
"1","9","31","00:03:57:14","00:03:58:14","What is it?"
"1","9","32","00:03:58:16","00:04:00:06","It is a raisin tree pill."
"1","9","33","00:04:00:09","00:04:02:06","Take it before you drink."
"1","9","34","00:04:02:09","00:04:04:15","The kids are going to drink
until they drop."
"1","9","35","00:04:04:17","00:04:06:22","The least we can do is try to keep up."
"1","9","36","00:04:08:04","00:04:10:12","I do not need this to prevent a hangover."
"1","9","37","00:04:10:14","00:04:12:17","You should think of your age."
"1","9","38","00:04:14:02","00:04:15:12","What about my age?"
"1","9","39","00:04:15:14","00:04:17:21","Look. I think I see some gray hairs."
"1","9","40","00:04:19:09","00:04:21:01","The sunlight is fooling your eyes."
"1","9","41","00:04:21:03","00:04:22:08","My goodness."
"1","9","42","00:04:22:10","00:04:25:15","Do you not see how silky my hair is?"
"1","9","43","00:04:26:24","00:04:28:11","Look at how beautiful my hair is."
"1","9","44","00:04:33:19","00:04:35:11","I shall hold on to this."
"1","9","45","00:04:35:13","00:04:36:21","Yes, take it."
"1","9","46","00:04:56:04","00:04:57:06","Madam Do-hwa."
"1","9","47","00:04:58:09","00:04:59:19","Young Master Jang"
"1","9","48","00:05:00:17","00:05:05:10","has become a mage of Jeongjingak,
just like Master Jang."
"1","9","49","00:05:07:21","00:05:09:10","You must be thrilled."
"1","9","50","00:05:29:10","00:05:31:00","You have come a long way"
"1","9","51","00:05:32:05","00:05:33:14","since the day we first met."
"1","9","52","00:05:40:17","00:05:42:05","I knew the moment I saw you."
"1","9","53","00:05:44:02","00:05:45:12","You are my master."
"1","9","54","00:05:46:04","00:05:47:09","Naksu."
"1","9","55","00:05:47:11","00:05:48:24","I want you to be my master."
"1","9","56","00:05:49:01","00:05:50:23","What original nonsense."
"1","9","57","00:05:51:00","00:05:52:19","If you survive,"
"1","9","58","00:05:52:21","00:05:54:17","I will be your master."
"1","9","59","00:05:55:20","00:05:56:22","Master."
"1","9","60","00:05:56:24","00:05:58:06","I finally did it."
"1","9","61","00:06:34:04","00:06:35:09","Mu-deok."
"1","9","62","00:06:35:24","00:06:38:07","How do I look? Does it suit me?"
"1","9","63","00:06:38:22","00:06:42:06","I am not sure. What would I know?"
"1","9","64","00:06:43:23","00:06:46:20","Master, how does your pupil look?"
"1","9","65","00:06:48:19","00:06:52:04","This uniform did not seem too bad
on Seo Yul and Park Dang-gu,"
"1","9","66","00:06:54:20","00:06:57:01","but it looks impeccable on my pupil."
"1","9","67","00:07:04:03","00:07:05:06","That is enough."
"1","9","68","00:07:06:10","00:07:07:17","I cannot breathe."
"1","9","69","00:07:08:17","00:07:09:18","Master."
"1","9","70","00:07:10:23","00:07:11:23","Thank you."
"1","9","71","00:07:17:01","00:07:19:24","All right, Mu-deok. Let us go and drink."
"1","9","72","00:07:24:00","00:07:26:05","Uk, wait."
"1","9","73","00:07:26:21","00:07:29:19","-Uk--
-Young Master, you look exquisite."
"1","9","74","00:07:30:20","00:07:31:16","Young Master."
"1","9","75","00:07:33:14","00:07:35:00","Take this before you drink."
"1","9","76","00:07:36:02","00:07:38:01","Master Heo gave you a raisin tree pill."
"1","9","77","00:07:40:03","00:07:41:10","A raisin tree pill?"
"1","9","78","00:07:41:12","00:07:43:08","We should share it."
"1","9","79","00:07:45:17","00:07:47:23","Raisin tree pills are the best
at preventing hangovers."
"1","9","80","00:07:58:23","00:08:00:08","Here you go, Maidservant Kim."
"1","9","81","00:08:01:18","00:08:02:22","Maidservant Kim."
"1","9","82","00:08:02:24","00:08:05:13","I was going to give this to you.
I am serious."
"1","9","83","00:08:05:15","00:08:08:23","Maidservant Kim, come back here.
Take this. It is as good as new."
"1","9","84","00:08:09:00","00:08:10:23","Maidservant Kim, take it. Please."
"1","9","85","00:08:17:22","00:08:22:00","The one born with the King's Star
has entered Songrim."
"1","9","86","00:08:22:14","00:08:25:19","His father, Jang Gang, performed sorcery
by unsealing the ice stone,"
"1","9","87","00:08:26:18","00:08:29:02","and his birth was
the result of that sorcery."
"1","9","88","00:08:29:04","00:08:31:22","That child is a disaster to Songrim."
"1","9","89","00:08:31:24","00:08:34:06","Why do you think
Jang Gang chose to do what he did?"
"1","9","90","00:08:34:19","00:08:37:08","He could have made his son king"
"1","9","91","00:08:37:10","00:08:41:24","and used the ice stone to master Hwansu.
Then he would have ruled the world."
"1","9","92","00:08:42:01","00:08:44:14","Why do you think
he closed his son's gate of energy"
"1","9","93","00:08:44:16","00:08:46:22","and sealed the ice stone instead?"
"1","9","94","00:08:48:01","00:08:49:22","Because he was weak."
"1","9","95","00:08:51:12","00:08:52:18","He sealed everything and fled"
"1","9","96","00:08:52:20","00:08:55:04","because he did not have
what it took to handle it all."
"1","9","97","00:08:59:12","00:09:00:24","Do you think Gil-ju"
"1","9","98","00:09:01:23","00:09:03:17","might have been killed by Jang Gang?"
"1","9","99","00:09:04:06","00:09:05:14","If he has returned…"
"1","9","100","00:09:05:16","00:09:09:10","Jang Gang would not have done it
out in the open like that."
"1","9","101","00:09:11:01","00:09:13:04","I suspect Master Lee."
"1","9","102","00:09:13:21","00:09:17:01","We need to gain more power
before Songrim gets more involved."
"1","9","103","00:09:19:24","00:09:21:22","Ten years ago, we succeeded"
"1","9","104","00:09:21:24","00:09:25:07","in getting our hands on the ice stone
that was sealed by Jang Gang."
"1","9","105","00:09:39:01","00:09:40:24","You have finally found it."
"1","9","106","00:09:42:00","00:09:43:08","Bu-yeon."
"1","9","107","00:09:43:10","00:09:45:03","Hand over the ice stone to me."
"1","9","108","00:09:56:09","00:09:59:00","She was so young,
yet she managed to find the ice stone."
"1","9","109","00:09:59:14","00:10:02:11","I must admit,
her divine powers were truly astonishing."
"1","9","110","00:10:05:11","00:10:08:15","I heard Jin Ho-gyeong is
unaware of her daughter's death"
"1","9","111","00:10:08:17","00:10:10:09","and is still looking for her."
"1","9","112","00:10:11:00","00:10:12:15","That is why I plan to find her."
"1","9","113","00:10:14:14","00:10:16:22","I will find the daughter
that she so longs to find,"
"1","9","114","00:10:16:24","00:10:20:12","and make Jin Ho-gyeong become my puppet."
"1","9","115","00:10:20:14","00:10:22:19","How are you going to find a dead girl?"
"1","9","116","00:10:24:02","00:10:25:24","I will find someone."
"1","9","117","00:10:26:11","00:10:29:18","Someone who will make her believe
that she must be her daughter, Bu-yeon."
"1","9","118","00:10:48:05","00:10:49:13","Here. Eat this."
"1","9","119","00:10:55:02","00:10:58:03","Have you not eaten anything
since you left Sari Village?"
"1","9","120","00:11:04:24","00:11:06:04","Goodness."
"1","9","121","00:11:06:22","00:11:07:23","Here."
"1","9","122","00:11:09:19","00:11:11:08","Eat this."
"1","9","123","00:11:20:07","00:11:21:14","Eat slowly."
"1","9","124","00:11:22:04","00:11:24:23","Why is a blind girl
heading to the city all by herself?"
"1","9","125","00:11:25:00","00:11:26:19","She is in search of a friend."
"1","9","126","00:11:27:10","00:11:30:18","Her friend apparently stole
all of her things"
"1","9","127","00:11:30:20","00:11:32:20","and fled to Daeho Fortress."
"1","9","128","00:11:32:22","00:11:34:22","Oh, dear. Poor girl."
"1","9","129","00:11:35:12","00:11:38:15","Do you even know where to go?
What is your friend's name?"
"1","9","130","00:11:40:15","00:11:41:20","Mu-deok."
"1","9","131","00:11:42:11","00:11:46:02","The name of the friend
I am looking for is Mu-deok."
"1","9","132","00:11:47:02","00:11:49:19","-""Mu-deok""?
-How is she going to find her?"
"1","9","133","00:11:52:07","00:11:53:18","Have some tasty taffy!"
"1","9","134","00:11:53:20","00:11:56:07","-We have fresh fish!
-Try our delicious honey biscuits!"
"1","9","135","00:11:56:09","00:11:58:10","-Welcome!
-Come and have a look!"
"1","9","136","00:11:58:12","00:12:00:08","-Take a look!
-Have some rice cakes!"
"1","9","137","00:12:00:10","00:12:03:16","Goodness. The weather is nice, right?"
"1","9","138","00:12:03:19","00:12:05:22","Mom, can you buy that for me?"
"1","9","139","00:12:05:24","00:12:07:17","I do not have money for that."
"1","9","140","00:12:07:19","00:12:08:24","Please buy it for me."
"1","9","141","00:12:09:01","00:12:10:08","What is with you today?"
"1","9","142","00:12:10:10","00:12:12:03","All right. Just a moment."
"1","9","143","00:12:14:05","00:12:16:03","My goodness, where is it?"
"1","9","144","00:12:16:05","00:12:18:15","-Where is my purse?
-What is the matter?"
"1","9","145","00:12:18:17","00:12:21:03","My purse is gone."
"1","9","146","00:12:21:20","00:12:24:03","-Dear me.
-Where is my ring?"
"1","9","147","00:12:25:02","00:12:27:04","-I lost my ring too!
-Oh, dear."
"1","9","148","00:12:57:14","00:12:58:22","What?"
"1","9","149","00:13:00:10","00:13:02:18","This is it?"
"1","9","150","00:13:05:22","00:13:07:18","This ring is cheap too."
"1","9","151","00:13:09:16","00:13:13:12","I chatted away,
but it was all for nothing."
"1","9","152","00:14:18:12","00:14:20:08","-Thank you.
-Pour me another glass."
"1","9","153","00:14:23:11","00:14:25:06","-Enjoy.
-Thank you."
"1","9","154","00:15:03:17","00:15:06:15","You knew who I was all along."
"1","9","155","00:15:08:09","00:15:10:16","Seeing that you have it
instead of your friend,"
"1","9","156","00:15:12:00","00:15:13:22","I am guessing that friend is gone."
"1","9","157","00:15:31:15","00:15:32:23","Young Master Seo?"
"1","9","158","00:15:36:04","00:15:37:08","Mu-deok."
