season,episode,number_line,timecode_in,timecode_out,text
1,13,1,00:00:51:00,00:00:52:15,Is it possible to treat soul shifters
1,13,2,00:00:52:20,00:00:55:21,"and turn them back into humans
even after they have run wild?"
1,13,3,00:00:57:01,00:01:00:09,"We are not treating him
to turn him back into a human being."
1,13,4,00:01:00:21,00:01:04:18,"We are merely trying to keep him
conscious enough for him to speak."
1,13,5,00:01:08:03,00:01:10:12,"So you are not looking for a way
to bring them back."
1,13,6,00:01:10:20,00:01:14:00,"Once a soul shifter runs wild,
they are no longer human."
1,13,7,00:01:14:23,00:01:16:05,They are monsters.
1,13,8,00:01:18:02,00:01:21:00,"They either feed off
the energy of human beings,"
1,13,9,00:01:21:03,00:01:23:14,"or they get petrified.
It is one or the other."
1,13,10,00:01:30:13,00:01:32:07,We cannot stop them from running wild.
1,13,11,00:01:36:21,00:01:38:00,The ice stone.
1,13,12,00:01:39:21,00:01:42:06,"I heard the ice stone
carries the power of Hwansu."
1,13,13,00:01:42:08,00:01:44:13,"Maybe that could stop them
from running wild."
1,13,14,00:01:45:24,00:01:48:12,"Yes, maybe. However,"
1,13,15,00:01:49:04,00:01:53:03,"that kind of power
should be forbidden to mankind."
1,13,16,00:02:06:14,00:02:08:12,It looks like it is going to rain.
1,13,17,00:02:10:12,00:02:13:07,"I did not even get to use
the energy of the Soul Ejector."
1,13,18,00:02:13:09,00:02:16:08,"It looks like it will
get washed away by the rain."
1,13,19,00:02:16:10,00:02:19:09,"Can the energy of the Soul Ejector
disappear due to the rain?"
1,13,20,00:02:19:11,00:02:21:21,"The power of the ice stone
came from the skies."
1,13,21,00:02:21:24,00:02:24:17,"Thus, its power can
also be taken away by the skies."
1,13,22,00:02:45:22,00:02:48:15,"I wonder if that girl tried to summon
the power of the skies"
1,13,23,00:02:48:17,00:02:51:07,to make the ice stone disappear.
1,13,24,00:02:55:23,00:02:57:14,Jin Bu-yeon.
1,13,25,00:02:58:20,00:03:02:02,"If she were alive,
she would have become a great priestess"
1,13,26,00:03:02:12,00:03:05:08,"who could even control
the energy of the skies."
1,13,27,00:03:29:09,00:03:30:24,You are fine.
1,13,28,00:03:31:11,00:03:34:12,"Look. I am all right too.
You did not run wild."
1,13,29,00:03:52:22,00:03:55:03,"The ceiling above the constellation basin
has opened."
1,13,30,00:03:55:14,00:03:58:00,"- Was it not always open?
- No."
1,13,31,00:03:58:13,00:04:00:03,"It may seem like it,"
1,13,32,00:04:00:24,00:04:02:19,but I was told that it was not.
1,13,33,00:04:02:21,00:04:05:06,Who told you that? Your father?
1,13,34,00:04:06:15,00:04:09:15,"He said the only way to open
the ceiling above the constellation basin"
1,13,35,00:04:09:18,00:04:12:13,"is by the energy
of a constellation recorder mage."
1,13,36,00:04:12:20,00:04:14:13,How did this open?
1,13,37,00:04:14:18,00:04:18:00,"In any case, it seems like
we did something we should not have."
1,13,38,00:04:18:07,00:04:19:13,I wonder what happened.
1,13,39,00:04:21:13,00:04:22:18,It was me.
1,13,40,00:04:24:14,00:04:26:02,I opened it.
1,13,41,00:04:26:22,00:04:28:20,My energy seeped inside the water.
1,13,42,00:04:29:17,00:04:31:14,Just like at Lake Gyeongcheondaeho
1,13,43,00:04:32:06,00:04:34:00,and inside the Mirror of Longing.
1,13,44,00:04:35:24,00:04:38:09,"This water enabled me
to get my energy back."
1,13,45,00:04:57:01,00:04:58:11,What do you mean lightning struck?
1,13,46,00:04:58:13,00:05:01:07,"There was a loud noise coming from
the Constellation Recording room."
1,13,47,00:05:01:09,00:05:04:14,"That is where Eunuch Kim
and Jang Uk are right now."
1,13,48,00:05:12:11,00:05:14:12,It is the energy of the Soul Ejector.
1,13,49,00:05:15:00,00:05:18:01,"I felt the same dark energy
when Gil-ju attempted to shift souls."
1,13,50,00:05:20:12,00:05:21:18,What is the matter?
1,13,51,00:05:22:00,00:05:24:22,"I cannot see just like how I could not
when I came out of the mirror."
1,13,52,00:05:25:18,00:05:27:08,I feel dizzy and nauseous.
1,13,53,00:05:27:11,00:05:29:22,Jin Mu will be back soon. We must leave.
1,13,54,00:05:41:24,00:05:43:11,"Oh, right. The door."
1,13,55,00:05:45:14,00:05:48:11,"The door is locked with his energy,
the constellation basin is damaged,"
1,13,56,00:05:48:13,00:05:50:01,and the soul shifter is dead.
1,13,57,00:05:51:09,00:05:52:12,This is bad.
1,13,58,00:05:53:04,00:05:56:01,"There is an exit for servants
next to the constellation basin."
1,13,59,00:05:56:17,00:05:59:08,"My father used to take me out
through that exit."
1,13,60,00:05:59:11,00:06:01:23,But we will still be inside Cheonbugwan.
1,13,61,00:06:05:18,00:06:08:18,"You cannot see,
and I do not know my way around here."
1,13,62,00:06:09:24,00:06:13:09,"If we get lost,
the mages here will catch us."
1,13,63,00:06:13:11,00:06:15:17,"If we stay here,
Jin Mu will come and kill us."
1,13,64,00:06:15:19,00:06:17:16,I am not strong enough to defeat him.
1,13,65,00:06:21:05,00:06:24:02,I am going to call my savior for help.
1,13,66,00:06:25:06,00:06:27:05,"- Your savior?
- It is someone I know."
1,13,67,00:06:29:01,00:06:32:19,"A person who will come running over
with a fluttering heart."
