season,episode,line,start_time,end_time,text
1,1,1,00:01:28:07,00:01:29:19,You poor thing.
1,1,2,00:01:30:14,00:01:32:22,"Child, eat this."
1,1,3,00:01:32:24,00:01:34:03,Child.
1,1,4,00:01:36:18,00:01:37:20,Go on.
1,1,5,00:01:42:04,00:01:43:18,I will bring you more meat.
1,1,6,00:01:44:07,00:01:45:18,Eat slowly.
1,1,7,00:02:26:07,00:02:27:07,Mom.
1,1,8,00:03:20:04,00:03:21:07,Geon!
1,1,9,00:03:24:23,00:03:27:20,I told you to reach out to me if anything were to happen to him.
1,1,10,00:03:27:22,00:03:29:16,How could you let things come to this?
1,1,11,00:03:29:18,00:03:32:07,He will be fine once he absorbs human energy.
1,1,12,00:03:32:09,00:03:33:22,He returns back to normal.
1,1,13,00:03:33:24,00:03:35:21,Your son has run wild.
1,1,14,00:03:39:16,00:03:41:04,I shall retrieve his soul.
1,1,15,00:03:42:03,00:03:43:21,No!
1,1,16,00:03:43:23,00:03:46:09,You were the one who turned my son into a soul shifter.
1,1,17,00:03:46:11,00:03:48:16,"Either get him another body,"
1,1,18,00:03:48:18,00:03:50:24,or feed him the energy of human souls!
1,1,19,00:03:51:18,00:03:53:00,Bring back my son.
1,1,20,00:03:53:14,00:03:55:06,Bring back my son!
1,1,21,00:03:55:23,00:03:58:00,"If word gets out that I used forbidden sorcery,"
1,1,22,00:03:59:00,00:04:00:15,we will both be doomed.
1,1,23,00:04:01:06,00:04:02:21,No…
1,1,24,00:04:02:23,00:04:03:19,Please…
1,1,25,00:04:08:04,00:04:10:13,"No, please. Geon."
1,1,26,00:04:11:10,00:04:14:01,Stay with me for just a bit longer.
1,1,27,00:04:14:16,00:04:15:19,My son…
1,1,28,00:05:28:07,00:05:31:20,Why do the bodies of soul shifters turn like rocks when they run wild?
1,1,29,00:05:31:22,00:05:35:05,"A crack forms when the bodies clash with the souls they carry,"
1,1,30,00:05:36:07,00:05:38:08,which causes them to lose energy.
1,1,31,00:05:38:23,00:05:41:14,"This is already the eighth soul
that has run wild."
1,1,32,00:05:42:03,00:05:44:13,I guess I should stop shifting souls.
1,1,33,00:05:45:04,00:05:46:24,You should go to the royal palace.
1,1,34,00:05:48:05,00:05:51:19,"His Majesty has been asking
about the new spell"
1,1,35,00:05:51:21,00:05:53:12,that you have been trying to master.
1,1,36,00:06:28:10,00:06:29:12,I hear…
1,1,37,00:06:30:13,00:06:33:09,"you have been trying to master
a new kind of spell."
1,1,38,00:06:33:22,00:06:37:14,"It is nothing grand.
It is just a trick I tried out for fun."
1,1,39,00:06:38:04,00:06:41:11,I know I cannot ask to live for longer.
1,1,40,00:06:41:13,00:06:42:17,"However,"
1,1,41,00:06:42:19,00:06:45:23,it saddens me that I do not have an heir.
1,1,42,00:06:46:19,00:06:48:19,I wish you a quick recovery.
1,1,43,00:06:49:14,00:06:52:01,I cannot do anything with this sick body.
1,1,44,00:06:52:21,00:06:55:00,But I might have a chance
1,1,45,00:06:56:03,00:06:59:19,"if I were to live in a body
that is young and healthy."
1,1,46,00:07:01:18,00:07:04:17,"There is no way for humans
to switch bodies."
1,1,47,00:07:08:00,00:07:10:06,But you can.
1,1,48,00:07:14:09,00:07:15:12,The alchemy of souls.
1,1,49,00:07:23:24,00:07:25:21,That is forbidden sorcery.
1,1,50,00:07:25:23,00:07:29:06,"If a soul clashes with the body,
it could even turn into an evil spirit."
1,1,51,00:07:29:08,00:07:30:22,How could I dare
1,1,52,00:07:30:24,00:07:33:13,"move the soul of a king
to another person's body?"
1,1,53,00:07:33:15,00:07:36:00,How about your body?
1,1,54,00:07:39:05,00:07:41:05,Not for too long. Just seven days.
1,1,55,00:07:41:18,00:07:43:16,Let us switch bodies for just seven days.
1,1,56,00:07:46:21,00:07:49:23,"I heard you once gave a soul
a dead man's body"
1,1,57,00:07:50:18,00:07:53:08,"and that it lived in that body
for over half a year."
1,1,58,00:07:54:13,00:07:58:18,"I am a king protected by the skies,
and you are the best mage in this land."
1,1,59,00:07:58:20,00:08:00:07,So what is there to worry about?
1,1,60,00:08:01:13,00:08:04:22,"And after seven days,
you can turn things back."
1,1,61,00:08:08:04,00:08:11:03,"You have mastered the ability
to do something"
1,1,62,00:08:11:06,00:08:12:18,that only the best mages can do.
1,1,63,00:08:14:00,00:08:15:21,Yet you are just wasting your time
1,1,64,00:08:15:23,00:08:17:22,shifting souls into dead bodies.
1,1,65,00:08:22:20,00:08:23:24,Jang Gang.
1,1,66,00:08:24:16,00:08:26:09,Give this king a different body.
1,1,67,00:11:07:07,00:11:09:21,His Majesty and I have switched bodies.
1,1,68,00:11:18:14,00:11:20:21,I shall make Do-hwa mine.
1,1,69,00:11:20:23,00:11:23:10,"If she bears a child,
know that it is mine."
1,1,70,00:11:25:23,00:11:27:04,Do-hwa.
1,1,71,00:11:31:15,00:11:32:18,Do-hwa.
1,1,72,00:11:34:01,00:11:35:17,You are very beautiful.
1,1,73,00:11:46:20,00:11:49:09,"No, that cannot happen."
1,1,74,00:11:53:23,00:11:56:18,That cannot happen.
1,1,75,00:11:57:10,00:11:58:15,No!
1,1,76,00:12:20:23,00:12:24:00,"The energy of the sky
rules the wind, clouds, and rain."
1,1,77,00:12:24:13,00:12:26:04,This energy reached the ground
1,1,78,00:12:27:18,00:12:29:23,and created a huge form of energy.
1,1,79,00:12:30:01,00:12:32:10,"A country was built around
Lake Gyeongcheondaeho,"
