"season","episode","number_line","timecode_in","timecode_out","text"
"1","3","1","00:00:49:09","00:00:52:12","I forbid anyone from opening
his gate of energy!"
"1","3","2","00:00:59:17","00:01:00:17","Wait!"
"1","3","3","00:01:03:01","00:01:05:02","You cannot just leave like this."
"1","3","4","00:01:05:17","00:01:07:10","What about this child?"
"1","3","5","00:01:07:23","00:01:11:07","Think about what people will say
about Do-hwa and this baby."
"1","3","6","00:01:11:20","00:01:13:16","They will say he is not your son"
"1","3","7","00:01:14:13","00:01:16:24","and call him an illegitimate child."
"1","3","8","00:01:17:18","00:01:21:11","He will be raised by the Jang family
since my wife gave birth to him."
"1","3","9","00:01:22:02","00:01:24:12","I will send someone over
after his mother's funeral."
"1","3","10","00:01:24:14","00:01:26:01","Are you abandoning this child?"
"1","3","11","00:01:27:10","00:01:28:14","Is he really"
"1","3","12","00:01:29:09","00:01:30:22","not your son?"
"1","3","13","00:01:33:07","00:01:35:11","Believe what you wish to believe."
"1","3","14","00:01:38:06","00:01:40:12","If this child is
only going to cause trouble,"
"1","3","15","00:01:40:13","00:01:42:07","let us just end his life here and now."
"1","3","16","00:01:52:00","00:01:54:12","See? He is your son."
"1","3","17","00:01:54:14","00:01:59:10","A son you are willing to protect
even at the risk of your own life."
"1","3","18","00:01:59:24","00:02:01:18","I am merely trying to keep him safe."
"1","3","19","00:02:03:11","00:02:06:19","If his gate of energy remains closed
and he lives as my son, he will live."
"1","3","20","00:02:07:07","00:02:10:10","However, if he chooses
to discover his fate instead,"
"1","3","21","00:02:12:00","00:02:13:16","he will not survive."
"1","3","22","00:02:15:19","00:02:18:06","Who is the father"
"1","3","23","00:02:19:18","00:02:20:21","of that child?"
"1","3","24","00:02:25:09","00:02:27:12","He is the son of a dead man."
"1","3","25","00:02:31:00","00:02:33:02","Not only does his birth make no sense,"
"1","3","26","00:02:33:22","00:02:35:23","but it never should have happened either."
"1","3","27","00:02:41:11","00:02:43:17","Young Master, are you all right?"
"1","3","28","00:02:44:11","00:02:46:20","Why did you bring her out?"
