"season","episode","number_line","timecode_in","timecode_out","text"
"1","8","1","00:00:51:12","00:00:52:16","Is that the alchemy of souls?"
"1","8","2","00:01:07:13","00:01:11:24","Is my soul being shifted right now?"
"1","8","3","00:02:59:23","00:03:01:08","My soul did not shift."
"1","8","4","00:03:02:22","00:03:04:06","What happened?"
"1","8","5","00:03:12:00","00:03:13:01","Jang Uk."
"1","8","6","00:03:14:02","00:03:15:06","Uk!"
"1","8","7","00:03:18:11","00:03:19:17","Uk!"
"1","8","8","00:03:20:21","00:03:22:00","Uk!"
"1","8","9","00:03:37:04","00:03:40:21","So you have shifted souls
with my pupil, Gil-ju."
"1","8","10","00:03:42:15","00:03:43:17","Mu-deok."
"1","8","11","00:03:47:11","00:03:50:00","I may have been too weak
to protect him from you."
"1","8","12","00:03:50:22","00:03:53:08","But I will make sure to end your life."
"1","8","13","00:03:59:04","00:04:00:11","I did not know"
"1","8","14","00:04:01:06","00:04:03:06","you cared about Jang Uk that much."
"1","8","15","00:04:03:24","00:04:05:05","Shut it!"
"1","8","16","00:04:07:08","00:04:08:12","Master!"
"1","8","17","00:04:09:14","00:04:10:17","It is me, Jang Uk."
"1","8","18","00:04:11:15","00:04:12:21","We did not shift souls."
"1","8","19","00:04:15:05","00:04:17:05","Look into my eyes."
"1","8","20","00:04:18:08","00:04:19:20","It is me, right?"
"1","8","21","00:04:24:07","00:04:27:01","I am the only one
who can look at you from this close."
"1","8","22","00:04:30:19","00:04:32:02","Do you recognize me?"
"1","8","23","00:05:53:17","00:05:56:00","He had the blue mark on his body."
"1","8","24","00:05:57:20","00:06:00:17","His soul must have re-entered his body."
"1","8","25","00:06:01:19","00:06:03:01","Then why am I fine?"
"1","8","26","00:06:03:03","00:06:04:02","You are wrong."
"1","8","27","00:06:04:20","00:06:06:10","You have changed as well. Look."
"1","8","28","00:06:07:17","00:06:09:22","You do not have the bracelet,
yet you are not trembling."
"1","8","29","00:06:12:10","00:06:15:11","You are right. I can move it freely now."
"1","8","30","00:06:15:13","00:06:17:23","The Soul Ejector helped surge your energy."
"1","8","31","00:06:18:00","00:06:21:17","The poison opened your gate of energy,
and the Soul Ejector surged your energy."
"1","8","32","00:06:22:19","00:06:26:02","Uk, you truly are astoundingly lucky."
"1","8","33","00:06:32:19","00:06:35:14","I am certain that I saw you there."
"1","8","34","00:06:36:13","00:06:37:16","What?"
"1","8","35","00:06:57:22","00:06:59:07","Why?"
"1","8","36","00:07:00:06","00:07:01:20","Why are you fine?"
"1","8","37","00:07:01:21","00:07:04:20","You must have failed
due to your weak energy."
"1","8","38","00:07:04:23","00:07:07:01","You are a soul shifter as well."
"1","8","39","00:07:07:03","00:07:08:24","Naksu, you will also"
"1","8","40","00:07:09:22","00:07:11:23","be petrified and perish eventually."
"1","8","41","00:07:13:01","00:07:15:01","Just like me"
"1","8","42","00:07:16:06","00:07:17:22","and your father."
"1","8","43","00:07:22:20","00:07:23:22","My father?"
"1","8","44","00:07:24:14","00:07:25:14","That is right."
"1","8","45","00:07:26:01","00:07:28:22","The constellation recorder mage."
"1","8","46","00:07:29:13","00:07:30:17","Cho Chung!"
"1","8","47","00:07:32:14","00:07:34:00","My father…"
"1","8","48","00:07:36:21","00:07:38:07","was a soul shifter?"
"1","8","49","00:07:41:05","00:07:45:16","The four families were not the ones
who killed your entire family."
"1","8","50","00:07:47:03","00:07:51:06","It was your father.
He had run wild and murdered them all."
"1","8","51","00:07:53:09","00:07:55:09","Stay inside and do not come out."
"1","8","52","00:07:55:11","00:07:58:09","If you see your father, run away."
"1","8","53","00:07:58:11","00:08:00:02","Do not let him catch you."
"1","8","54","00:08:03:12","00:08:07:17","Both you and your father were exploited"
"1","8","55","00:08:08:11","00:08:10:19","and will eventually be petrified and die."
"1","8","56","00:08:11:18","00:08:13:18","Was the man who shifted my father's soul,"
"1","8","57","00:08:15:02","00:08:16:07","the Danju,"
"1","8","58","00:08:17:09","00:08:19:09","Jin Mu of Cheonbugwan?"
"1","8","59","00:08:19:23","00:08:22:22","Jin Mu is not our true Danju."
"1","8","60","00:08:23:16","00:08:26:13","The real Danju is someone else."
"1","8","61","00:08:27:11","00:08:29:16","-And who is that?
-The true Danju"
"1","8","62","00:08:30:22","00:08:33:08","can prevent you from running wild"
"1","8","63","00:08:34:08","00:08:37:12","since the real Danju
possesses the ice stone."
"1","8","64","00:08:37:15","00:08:39:21","So who is the real Danju?"
"1","8","65","00:09:04:15","00:09:06:17","Mu-deok, are you all right?"
"1","8","66","00:09:07:23","00:09:09:04","I am fine."
"1","8","67","00:09:10:01","00:09:11:24","Go after him. Hurry!"
"1","8","68","00:09:48:17","00:09:51:01","I must get out of here"
"1","8","69","00:09:51:17","00:09:53:17","before the poison
from the sorcery spreads."
"1","8","70","00:10:18:03","00:10:19:08","Search the area."
"1","8","71","00:10:19:10","00:10:20:16","-Yes, sir.
-Yes, sir."
"1","8","72","00:10:44:06","00:10:45:05","It is empty."
"1","8","73","00:10:50:20","00:10:52:17","It felt the energy of the sorcery."
"1","8","74","00:10:52:19","00:10:55:21","Master Heo was right.
This Sapsali was indeed Gwigu."
"1","8","75","00:10:56:12","00:10:58:19","Did the alchemy of souls
really take place here?"
"1","8","76","00:11:07:21","00:11:08:19","What are those?"
"1","8","77","00:11:09:09","00:11:10:18","They were on the ground."
"1","8","78","00:11:11:21","00:11:13:03","Maybe this is the Soul Ejector."
"1","8","79","00:11:18:24","00:11:20:03","This bracelet…"
"1","8","80","00:11:21:00","00:11:23:00","Is this not
Young Master Jang's binding bracelet?"
"1","8","81","00:11:23:02","00:11:24:19","Why is this here?"
"1","8","82","00:11:25:09","00:11:26:24","Does this mean Uk was here?"
"1","8","83","00:11:31:19","00:11:32:24","They fought here."
"1","8","84","00:11:33:01","00:11:35:05","Do you think something happened to him?"
"1","8","85","00:11:38:14","00:11:41:03","Please return to Songrim
and report what you saw here."
"1","8","86","00:11:41:19","00:11:44:01","Dang-gu, go inside the fortress
and look for Uk."
"1","8","87","00:11:44:03","00:11:46:01","-I will search this area.
-All right."
"1","8","88","00:12:21:22","00:12:24:10","How did the Songrim mages
know to come here?"
"1","8","89","00:12:41:13","00:12:43:07","You are a soul shifter as well."
"1","8","90","00:12:43:22","00:12:45:14","Naksu, you will also"
"1","8","91","00:12:46:12","00:12:48:18","be petrified and perish eventually."
"1","8","92","00:12:48:20","00:12:50:20","Just like me"
"1","8","93","00:12:51:11","00:12:53:01","and your father."
"1","8","94","00:12:56:19","00:12:57:24","Father."
"1","8","95","00:13:22:08","00:13:23:24","Both you and your father…"
"1","8","96","00:13:25:16","00:13:28:05","were exploited and will eventually"
"1","8","97","00:13:29:17","00:13:31:20","be petrified and die."
"1","8","98","00:15:18:10","00:15:19:14","Why?"
"1","8","99","00:15:20:14","00:15:21:23","Why is it you again?"
"1","8","100","00:15:28:09","00:15:31:05","Is that the soul shifter?"
"1","8","101","00:15:31:07","00:15:33:07","No, she is Uk's maid."
"1","8","102","00:15:34:08","00:15:36:16","I accidentally hurt her,
so I must get her treated."
"1","8","103","00:15:43:14","00:15:46:01","Goodness, what a day."
"1","8","104","00:15:46:03","00:15:48:20","Gosh. Business was good today."
"1","8","105","00:15:54:21","00:15:57:02","I must refill my energy,
or I will be petrified."
"1","8","106","00:15:59:18","00:16:01:19","-Are you done?
-Yes, I am."
"1","8","107","00:16:02:09","00:16:04:05","Then let us have a drink."
"1","8","108","00:16:04:22","00:16:05:23","-All right.
-Hurry up!"
"1","8","109","00:16:06:00","00:16:07:04","Let us go."
"1","8","110","00:16:08:21","00:16:11:03","I cannot return if I cause a commotion."
"1","8","111","00:16:11:05","00:16:14:03","I need to find somewhere quiet
where I can take their energy."
"1","8","112","00:17:04:21","00:17:06:16","Please move aside."
"1","8","113","00:17:08:18","00:17:09:24","Right. Please go ahead."
"1","8","114","00:17:10:22","00:17:11:21","Master."
"1","8","115","00:17:11:23","00:17:14:04","You cannot fool us
with those obvious tricks."
"1","8","116","00:17:15:11","00:17:18:00","You have been following her
ever since you entered the capital."
"1","8","117","00:17:25:12","00:17:27:21","That man has been following us."
"1","8","118","00:17:31:14","00:17:34:24","You followed her all the way to this inn."
"1","8","119","00:17:37:03","00:17:39:10","We just shared
the same destination, that is all."
"1","8","120","00:17:39:12","00:17:40:15","Do not lie."
"1","8","121","00:17:40:18","00:17:43:12","You were staring at her the entire time!"
"1","8","122","00:17:43:15","00:17:44:18","I was not."
"1","8","123","00:17:44:20","00:17:45:20","Sun-i."
"1","8","124","00:17:46:13","00:17:48:04","Do not embarrass him anymore."
"1","8","125","00:17:52:03","00:17:55:14","To follow me to my accommodation
was rude and uncomfortable."
"1","8","126","00:17:56:03","00:17:59:02","If you do not want me
to find another inn this late,"
"1","8","127","00:17:59:05","00:18:00:08","please leave."
"1","8","128","00:18:01:21","00:18:03:04","Lady."
"1","8","129","00:18:03:24","00:18:06:08","Why do you think I was following you?"
"1","8","130","00:18:06:22","00:18:08:19","You are neither my debtor"
"1","8","131","00:18:08:21","00:18:12:03","nor someone I know,
so why do you think I followed you?"
"1","8","132","00:18:12:05","00:18:15:04","-That is because she is very--
-Shut up, Sun-i."
"1","8","133","00:18:16:18","00:18:18:08","I want you to answer me."
"1","8","134","00:18:20:12","00:18:24:18","Many men have given me trouble
because they followed me due to my looks."
"1","8","135","00:18:24:20","00:18:25:24","So I thought"
"1","8","136","00:18:27:04","00:18:28:20","you were just one of them."
"1","8","137","00:18:29:09","00:18:30:05","I see."
"1","8","138","00:18:31:03","00:18:31:24","You are wrong."
"1","8","139","00:18:34:09","00:18:35:18","Your looks did not impress me,"
"1","8","140","00:18:36:11","00:18:38:04","and I did not follow you either."
"1","8","141","00:18:39:21","00:18:41:04","If that is the case,"
"1","8","142","00:18:43:05","00:18:44:13","I am sorry."
"1","8","143","00:18:44:15","00:18:46:13","Then may I go upstairs now?"
"1","8","144","00:18:59:01","00:19:01:11","-Young Lady Heo.
-Yes?"
"1","8","145","00:19:01:13","00:19:03:04","You must eat."
"1","8","146","00:19:05:05","00:19:06:09","Did that scum--"
"1","8","147","00:19:07:08","00:19:08:11","I mean…"
"1","8","148","00:19:09:00","00:19:11:22","Are you that embarrassed
that you might run into him again?"
"1","8","149","00:19:13:03","00:19:14:11","That is not why."
"1","8","150","00:19:15:10","00:19:16:22","I just do not feel well."
"1","8","151","00:19:17:12","00:19:19:05","You should change into dry clothes."
"1","8","152","00:19:19:08","00:19:21:18","I will get some porridge for you."
